id,[x],[y],[y_pred],[y_pred_init]
0,0.750063144906,0.194746288897,0,0,-0.019185603482
2,0.750437676750,0.496131136073,0,0,-0.106845150671
3,0.750487884933,2.620304325545,0,0,-0.000263774984
5,0.750579749712,3.607952985887,0,0,0.043495904382
8,0.751695045478,8.822881278401,0,0,-0.039996880186
9,0.751939426762,1.510442767469,0,0,-0.000141862994
10,0.751979390243,17.434902361867,0,0,-0.065921637762
11,0.752440760059,0.354915756388,0,0,0.028619528880
12,0.752660849075,0.215520705164,0,0,0.001717340535
13,0.753125514273,3.730855994041,0,0,0.117735660248
14,0.753131149485,3.088170738009,0,0,-0.014932894992
15,0.753198380674,0.960293079908,0,0,0.015250133669
16,0.753567975692,2.036506583777,0,0,0.062556174612
17,0.754000612584,0.346310896760,0,0,0.006941364613
18,0.754072853049,7.405301829840,0,0,0.012689847306
19,0.754237141585,1.258334894127,0,0,-0.013944188894
20,0.754427330526,13.362251418368,0,0,-0.092089404299
21,0.754462305396,0.328339004137,0,0,0.050125097753
22,0.754540305522,0.751676509971,0,0,0.037656401367
23,0.754796602984,4.594955248883,0,0,0.012945742755
24,0.755146392559,0.651610825934,0,0,0.012331981401
25,0.755279564748,0.365755025672,0,0,0.093090925751
26,0.755471980182,4.580325302310,0,0,0.043336426062
27,0.755532099684,6.016457240672,0,0,-0.041725813001
28,0.755720608410,0.242599868814,0,0,-0.020495973076
29,0.756143124126,2.005286844567,0,0,-0.062088516509
30,0.756228643037,1.489222733434,0,0,0.032229516820
31,0.756484265178,15.733495956855,0,0,0.065746914401
32,0.756866278805,0.371563071631,0,0,-0.040145254028
33,0.756942392377,4.733174112120,0,0,0.056516744759
34,0.757307219063,6.898865146573,0,0,-0.012859157663
35,0.757414640721,2.816547771188,0,0,-0.043812058855
36,0.757478563249,13.706637930609,0,0,-0.045814644253
37,0.757613491313,0.332437750465,0,0,0.018250474754
39,0.758333309034,1.352641983634,0,0,0.028467833785
41,0.759056178870,0.846908952650,0,0,0.093856296174
42,0.759587025681,0.321206064466,0,0,0.041694490503
43,0.759595892378,1.290554039181,0,0,-0.026867659930
44,0.759682600788,14.403314343440,0,0,-0.019250533436
45,0.759878148768,4.191697387070,0,0,0.039513645805
46,0.759941854029,0.402525539778,0,0,-0.016109819851
47,0.760159549958,9.369113879800,0,0,0.057033318455
48,0.760204073172,1.693471769584,0,0,0.033224029006
50,0.760773225798,4.955941110073,0,0,-0.065513173095
51,0.760799561208,0.395740161169,0,0,-0.011190162246
52,0.761048503827,10.387739175564,0,0,0.003570433370
53,0.761275811371,12.601270311458,0,0,-0.023969998334
54,0.761647405589,0.306334888868,0,0,-0.040185866172
55,0.761661681028,0.911586257918,0,0,0.018898800893
56,0.762259620327,4.771963032073,0,0,-0.064373111928
