id,[x],[y],[y_pred],[y_pred_init]
0,0.750063144906,0.194746288897,0,0,-0.004031942548
2,0.750437676750,0.496131136073,0,0,-0.038296197954
3,0.750487884933,2.620304325545,0,0,0.007796140388
5,0.750579749712,3.607952985887,0,0,-0.039861488923
8,0.751695045478,8.822881278401,0,0,-0.037397151642
9,0.751939426762,1.510442767469,0,0,-0.024917309010
10,0.751979390243,17.434902361867,0,0,0.087175877035
11,0.752440760059,0.354915756388,0,0,0.030461419999
12,0.752660849075,0.215520705164,0,0,-0.028119002766
13,0.753125514273,3.730855994041,0,0,-0.005889281928
14,0.753131149485,3.088170738009,0,0,0.012443566006
15,0.753198380674,0.960293079908,0,0,0.004227059073
16,0.753567975692,2.036506583777,0,0,0.024540237702
17,0.754000612584,0.346310896760,0,0,-0.012597845119
18,0.754072853049,7.405301829840,0,0,-0.058123729443
19,0.754237141585,1.258334894127,0,0,0.055079949972
20,0.754427330526,13.362251418368,0,0,0.034282826155
21,0.754462305396,0.328339004137,0,0,0.037490388963
22,0.754540305522,0.751676509971,0,0,0.003772782257
23,0.754796602984,4.594955248883,0,0,0.020095642179
24,0.755146392559,0.651610825934,0,0,-0.056683886280
25,0.755279564748,0.365755025672,0,0,-0.005174538850
26,0.755471980182,4.580325302310,0,0,0.053320376633
27,0.755532099684,6.016457240672,0,0,-0.081336317645
28,0.755720608410,0.242599868814,0,0,0.012223843405
29,0.756143124126,2.005286844567,0,0,0.029230983492
30,0.756228643037,1.489222733434,0,0,-0.020454112524
31,0.756484265178,15.733495956855,0,0,0.186506185349
32,0.756866278805,0.371563071631,0,0,-0.022201926064
33,0.756942392377,4.733174112120,0,0,0.002072187959
34,0.757307219063,6.898865146573,0,0,0.018085543678
35,0.757414640721,2.816547771188,0,0,0.015223378499
36,0.757478563249,13.706637930609,0,0,-0.035107645213
37,0.757613491313,0.332437750465,0,0,0.045492836219
39,0.758333309034,1.352641983634,0,0,-0.065378645166
41,0.759056178870,0.846908952650,0,0,0.012499214846
42,0.759587025681,0.321206064466,0,0,-0.017487130656
43,0.759595892378,1.290554039181,0,0,0.034139301802
44,0.759682600788,14.403314343440,0,0,0.022106915549
45,0.759878148768,4.191697387070,0,0,0.012628755477
46,0.759941854029,0.402525539778,0,0,-0.016242319693
47,0.760159549958,9.369113879800,0,0,0.001239481720
48,0.760204073172,1.693471769584,0,0,0.117349261815
50,0.760773225798,4.955941110073,0,0,-0.036383706650
51,0.760799561208,0.395740161169,0,0,-0.162949535145
52,0.761048503827,10.387739175564,0,0,0.021383176138
53,0.761275811371,12.601270311458,0,0,0.021928458687
54,0.761647405589,0.306334888868,0,0,-0.031011279686
55,0.761661681028,0.911586257918,0,0,0.014982898646
56,0.762259620327,4.771963032073,0,0,-0.018273050444
57,0.762712787051,0.205514058182,0,0,-0.000698119532
58,0.762803518867,1.358090914896,0,0,0.060832341004
59,0.763027760478,16.812936328046,0,0,0.019476928055
60,0.763266684282,0.485107848516,0,0,-0.050751436923
63,0.763609439992,0.733997803124,0,0,0.018491718974
64,0.763717558723,8.667654631923,0,0,-0.014514374361
65,0.764000763311,5.186115313682,0,0,-0.008153538711
66,0.764358792094,2.936632182842,0,0,-0.010381868529
67,0.764459216273,1.419533045941,0,0,0.017143208766
68,0.764672970333,0.511860955629,0,0,0.013470054335
69,0.764904087613,0.245660049926,0,0,0.291067744892
72,0.765678990764,5.276470072794,0,0,0.010454937155
73,0.766077959431,8.475669335326,0,0,0.024956667982
74,0.766460277908,2.146843789754,0,0,-0.025844002104
76,0.766729106905,1.754519449752,0,0,0.038499591256
77,0.766763807143,0.300007804826,0,0,0.105843187829
78,0.766889549985,13.326886976123,0,0,0.007149296948
79,0.766920515328,0.583819732979,0,0,-0.017265651007
80,0.767089460303,5.979494075653,0,0,0.015957964404
81,0.767575391006,0.665567078879,0,0,-0.053822904688
82,0.767583074274,1.727969217998,0,0,0.153461439333
83,0.767658833581,0.546809416520,0,0,-0.051245204904
84,0.767909488908,0.223524223710,0,0,0.025759489657
85,0.768222506953,4.714565494393,0,0,0.048458998422
86,0.768252723154,11.471483977014,0,0,0.014689360695
87,0.768541251575,3.116571818117,0,0,0.026645817198
88,0.768897904642,4.078737677271,0,0,0.031153317118
89,0.769364660239,2.240334425396,0,0,-0.023939571539
