k_hyz,k_pyx,CYCLE_TIME(X),CYCLE_TIME(Y),CYCLE_TIME(Z),CONV
0.7500631449059016,0.19474628889684673,inf,inf,inf,0
0.7500955225986184,11.876902519033074,inf,inf,inf,0
0.7504376767497027,0.49613113607281367,inf,inf,inf,0
0.7504878849328154,2.6203043255445855,inf,inf,inf,0
0.7505234982070691,9.828244200423827,inf,inf,inf,0
0.7505797497124636,3.6079529858868455,inf,inf,inf,0
0.7507848802071817,1.061225001748887,inf,inf,inf,0
0.7510263169504113,0.6745826866021207,inf,inf,inf,0
0.7516950454777026,8.822881278401333,inf,inf,inf,0
0.7519394267624104,1.5104427674688874,inf,inf,inf,0
0.7519793902434713,17.434902361866744,inf,inf,inf,0
0.7524407600588866,0.3549157563880644,inf,inf,inf,0
0.7526608490746466,0.21552070516352126,inf,inf,inf,0
0.7531255142725032,3.730855994040913,inf,inf,inf,0
0.7531311494854986,3.0881707380093393,inf,inf,inf,0
0.7531983806743283,0.960293079907617,inf,inf,inf,0
0.7535679756917958,2.036506583776821,inf,inf,inf,0
0.7540006125839126,0.3463108967602785,inf,inf,inf,0
0.7540728530485509,7.4053018298398054,inf,inf,inf,0
0.7542371415849387,1.2583348941267893,inf,inf,inf,0
0.7544273305260077,13.362251418368093,inf,inf,inf,0
0.7544623053964197,0.3283390041368394,inf,inf,inf,0
0.7545403055217619,0.75167650997061,inf,inf,inf,0
0.7547966029840328,4.594955248882619,inf,inf,inf,0
0.7551463925586576,0.6516108259339208,inf,inf,inf,0
0.7552795647480097,0.3657550256715753,inf,inf,inf,0
0.7554719801819068,4.580325302309737,inf,inf,inf,0
0.7555320996835189,6.016457240671685,inf,inf,inf,0
0.7557206084101028,0.24259986881425546,inf,inf,inf,0
0.7561431241256136,2.0052868445669354,inf,inf,inf,0
0.7562286430371243,1.4892227334335406,inf,inf,inf,0
0.7564842651778623,15.73349595685525,inf,inf,inf,0
0.7568662788047767,0.37156307163063956,inf,inf,inf,0
0.756942392376841,4.733174112119814,inf,inf,inf,0
0.7573072190628596,6.8988651465733275,inf,inf,inf,0
0.7574146407212838,2.816547771187589,inf,inf,inf,0
0.7574785632489957,13.706637930608892,inf,inf,inf,0
0.7576134913130174,0.33243775046475854,inf,inf,inf,0
0.7580659782374315,0.9152081802895058,inf,inf,inf,0
0.7583333090344576,1.3526419836342756,inf,inf,inf,0
0.75899517673367,2.5166301763672907,inf,inf,inf,0
0.7590561788700275,0.8469089526501975,inf,inf,inf,0
0.75958702568095,0.32120606446606986,inf,inf,inf,0
0.7595958923782359,1.2905540391809902,inf,inf,inf,0
0.7596826007879103,14.403314343439964,inf,inf,inf,0
0.7598781487676565,4.191697387070033,inf,inf,inf,0
0.7599418540288974,0.40252553977841043,inf,inf,inf,0
0.7601595499580042,9.369113879799832,inf,inf,inf,0
0.7602040731717933,1.693471769584232,inf,inf,inf,0
0.7603016405529497,2.372179513127313,inf,inf,inf,0
0.7607732257978447,4.955941110073014,inf,inf,inf,0
0.7607995612079973,0.39574016116877436,inf,inf,inf,0
0.7610485038272313,10.387739175563743,inf,inf,inf,0
0.7612758113706896,12.601270311457668,inf,inf,inf,0
0.7616474055887799,0.30633488886770593,inf,inf,inf,0
0.7616616810284292,0.9115862579177276,inf,inf,inf,0
0.7622596203270342,4.771963032073173,inf,inf,inf,0
0.7627127870510545,0.20551405818222726,inf,inf,inf,0
0.762803518866725,1.3580909148960996,inf,inf,inf,0
0.7630277604777078,16.81293632804645,inf,inf,inf,0
0.7632666842821769,0.4851078485159699,inf,inf,inf,0
0.7634338835083385,2.586676253940658,inf,inf,inf,0
0.7635292705246973,9.298966853142097,inf,inf,inf,0
0.7636094399920239,0.733997803123602,inf,inf,inf,0
0.7637175587231755,8.667654631923451,inf,inf,inf,0
0.7640007633107955,5.186115313681949,inf,inf,inf,0
0.7643587920944444,2.9366321828417337,inf,inf,inf,0
0.7644592162730027,1.4195330459414162,inf,inf,inf,0
0.7646729703334496,0.5118609556290715,inf,inf,inf,0
0.7649040876133033,0.24566004992589313,inf,inf,inf,0
0.7650057656816722,0.6823942643178352,inf,inf,inf,0
0.7652204202999054,14.902765665880947,inf,inf,inf,0
0.7656789907641689,5.276470072793604,inf,inf,inf,0
0.7660779594306775,8.475669335326483,inf,inf,inf,0
0.7664602779079469,2.1468437897542096,inf,inf,inf,0
0.7666975822638515,0.9492483961584529,inf,inf,inf,0
0.7667291069045377,1.7545194497519538,inf,inf,inf,0
0.7667638071426733,0.3000078048256596,inf,inf,inf,0
0.766889549984731,13.326886976122845,inf,inf,inf,0
0.7669205153277563,0.5838197329791323,inf,inf,inf,0
0.7670894603025762,5.979494075652993,inf,inf,inf,0
0.7675753910062262,0.6655670788787513,inf,inf,inf,0
0.767583074274049,1.7279692179981496,inf,inf,inf,0
0.7676588335813297,0.5468094165202126,inf,inf,inf,0
0.7679094889081747,0.22352422371030273,inf,inf,inf,0
0.7682225069525416,4.714565494393065,inf,inf,inf,0
0.7682527231537223,11.471483977014477,inf,inf,inf,0
0.768541251574665,3.116571818117341,inf,inf,inf,0
0.7688979046420323,4.0787376772713175,inf,inf,inf,0
0.7693646602391887,2.2403344253958735,inf,inf,inf,0
0.7697113517642875,1.7392058259456569,inf,inf,inf,0
0.7697986510063204,0.3972201723252062,inf,inf,inf,0
0.7700949823098701,0.952240538213587,inf,inf,inf,0
0.7701024002275726,7.157426079735489,inf,inf,inf,0
0.7703284800431645,14.990826902514055,inf,inf,inf,0
